,business_id,stars,tokenized_category
85,YYQ6-vDjbJkhknyzeeQ8OQ,1.5,"['Chiropractors', 'Medical', 'Spas', 'Beauty', 'Spas', 'Health', 'Medical', 'Massage', 'Day', 'Spas']"
86,oz4YTqzGLYRzV0lSMDaEEQ,3.0,"['Arts', 'Entertainment', 'Museums']"
87,5oH_hLkDuQEaF4enjlDPZA,4.0,"['Shopping', 'Women', ""'s"", 'Clothing', 'Fashion', 'Accessories']"
88,bGGOw_1E6HolarRy062qaw,3.0,"['Department', 'Stores', 'Home', 'Garden', 'Nurseries', 'Gardening', 'Shopping', 'Fashion']"
89,VxnZy3cU-ItbYiDK5XDX8g,2.0,"['Chinese', 'Restaurants']"
90,m6D1TppT1PG31taCzhEWFg,5.0,"['Home', 'Garden', 'Hardware', 'Stores', 'Keys', 'Locksmiths', 'Home', 'Services', 'Shopping', 'Security', 'Systems']"
91,jdgkNUgWTZ4_vqVHHqFk6g,1.5,['Food']
92,hFbhRTodMqG2FAf0UWjJQw,4.5,"['Modern', 'European', 'Restaurants']"
93,yB1Pl6XP-pANvOPTTVVfow,5.0,"['Web', 'Design', 'Marketing', 'Professional', 'Services']"
94,h_ypoQ2rmwX8UGSmohsGiQ,3.5,"['Event', 'Planning', 'Services', 'American', 'Traditional', 'Bakeries', 'Cocktail', 'Bars', 'Caterers', 'Bars', 'Coffee', 'Tea', 'Food', 'French', 'Restaurants', 'Nightlife']"
95,aDPrG6a0s_xVbaLrzwhPzg,5.0,"['Flowers', 'Gifts', 'Shopping', 'Florists']"
96,Qr6REdrwVE7Te_VyYA7Lhg,2.5,"['Real', 'Estate', 'Home', 'Services', 'Property', 'Management', 'Apartments']"
97,TboX0o7lo8FwB-8QttguIw,2.5,"['Eyewear', 'Opticians', 'Shopping']"
98,WkdIxfgIj-iH1OL4YJ6oFQ,2.0,"['Furniture', 'Stores', 'Office', 'Equipment', 'Shopping', 'Home', 'Garden']"
99,j_pi7HWSARbfKabuPRsXbw,3.5,"['Waxing', 'Nail', 'Salons', 'Hair', 'Removal', 'Beauty', 'Spas', 'Skin', 'Care']"
100,kExmc2lS8BhFFlh9sjvuSA,3.0,"['Restaurants', 'Pizza', 'Italian']"
101,cNGVnoA2r-sozn6n9jIuvw,4.0,"['Beauty', 'Spas', 'Cosmetics', 'Beauty', 'Supply', 'Shopping', 'Drugstores']"
102,OpwRrBS1WpoxUvfi--bHzg,4.0,"['Fitness', 'Instruction', 'Gyms', 'Active', 'Life']"
103,0WBMEfqXQnEOAIkV-uCW6w,3.5,"['Bars', 'Event', 'Planning', 'Services', 'Arts', 'Entertainment', 'Lounges', 'Nightlife', 'Casinos', 'Venues', 'Event', 'Spaces', 'Pool', 'Halls']"
104,jqhLwpCmY7uVuc1vetbqmA,2.5,"['Financial', 'Services', 'Banks', 'Credit', 'Unions']"
105,MJOgsttyPKhAbdWIK6WROA,2.0,"['Home', 'Services', 'Real', 'Estate', 'Services', 'Real', 'Estate']"
106,MPPlVchUxAKCS-Dy-tMGAg,3.0,"['Salad', 'Bagels', 'Breakfast', 'Brunch', 'Sandwiches', 'Food', 'Bakeries', 'Soup', 'Restaurants']"
107,7EmkCmCizkiHs8GrxLzakw,2.5,"['Home', 'Cleaning', 'Home', 'Services']"
108,iag4htR8F7FmE9zpz7_GMw,4.0,"['Salad', 'Italian', 'Restaurants', 'Pizza']"
109,qxFVwTstR5BuFa4kY50akQ,3.5,"['Comfort', 'Food', 'Restaurants', 'American', 'Traditional']"
110,-jdNqqzF1Dbve04oEd4jww,3.0,"['Restaurants', 'Breakfast', 'Brunch', 'Diners']"
111,N-U0o7hIKy3Z6KY_O4RuPg,3.0,"['Sports', 'Bars', 'Italian', 'Nightlife', 'Restaurants', 'Bars', 'Pizza']"
112,0FjE0Rz0BdPHkD01mxgJsQ,3.0,"['Dry', 'Cleaning', 'Laundry', 'Local', 'Services', 'Laundry', 'Services']"
113,q1qjPXe0C2VXTInnWNLudQ,4.0,"['Desserts', 'Cafes', 'Food', 'Ice', 'Cream', 'Frozen', 'Yogurt', 'Restaurants', 'Bubble', 'Tea']"
114,OkXjIwGUEGcyofyjPITZ8A,3.0,"['Gyms', 'Active', 'Life', 'Fitness', 'Instruction']"
115,MuDmP50gdV_NYSP2Tb8ZfA,3.5,"['Specialty', 'Food', 'Food']"
116,Iojwvqi475VZ7n27LGfnBw,3.5,"['Sandwiches', 'Breakfast', 'Brunch', 'Nightlife', 'Cocktail', 'Bars', 'Food', 'Bars', 'Restaurants', 'American', 'Traditional', 'Canadian', 'New', 'Diners', 'Specialty', 'Food', 'Delis', 'Meat', 'Shops', 'Delicatessen']"
117,HeH4qL9xS_XYnAQh6Yu8JQ,2.0,"['Local', 'Services', 'Shopping', 'Appliances', 'Repair', 'Appliances', 'Home', 'Garden']"
118,4w-q_Wc77JzQZSIehKFTzA,4.0,"['Juice', 'Bars', 'Smoothies', 'Restaurants', 'Sandwiches', 'Food', 'Cafes', 'Coffee', 'Tea']"
119,q8MUVVuQpfR6v0HBHmAFxw,3.5,"['Canadian', 'New', 'Bakeries', 'Restaurants', 'Food', 'Bars', 'Burgers', 'Nightlife', 'Mexican', 'American', 'New']"
120,q5HePwBjh9xSV9-mYvC5Mg,3.5,"['Restaurants', 'Sandwiches']"
121,PvAARwsGKb9BcytkxtNqJQ,3.5,"['Gluten-Free', 'Food', 'Bakeries', 'Restaurants', 'Vegan', 'Cafes']"
122,s5aC8T3Fldtp4HQHHxPEpQ,4.5,"['Child', 'Care', 'Day', 'Care', 'Education', 'Elementary', 'Schools', 'Preschools', 'Local', 'Services']"
123,1En6jicM87DGevp-groNcg,4.0,"['Medical', 'Spas', 'Hair', 'Removal', 'Weight', 'Loss', 'Centers', 'Laser', 'Hair', 'Removal', 'Health', 'Medical', 'Beauty', 'Spas']"
124,7MssGOl7IeOYCPn6uuSGxw,3.5,"['Restaurants', 'Vietnamese']"
125,c5kWVCbQ0mFuUeEXZOEe8Q,3.5,"['Health', 'Medical', 'Doctors']"
126,eoG9zP7xxsDHVM0kJYrvkw,4.0,"['Cocktail', 'Bars', 'Bars', 'Tiki', 'Bars', 'Nightlife']"
127,GOsj1Zh2Gn2o7yaN7P3ODg,4.5,"['Local', 'Services', 'Dry', 'Cleaning', 'Laundry', 'Laundry', 'Services']"
128,I24pVfCFcQXBU6cbw3cTbA,3.5,['Restaurants']
129,nxzyOxgWh5gT_YNbVaBx6A,3.5,"['Food', 'Specialty', 'Food', 'Health', 'Markets']"
130,qlS9gZUWP23cVw57lVvvDQ,5.0,"['Auto', 'Repair', 'Hotels', 'Travel', 'Auto', 'Parts', 'Supplies', 'Car', 'Dealers', 'Car', 'Rental', 'Automotive', 'Body', 'Shops']"
131,EH8fm70yEU5TGQpFWQ2pKw,5.0,"['Cosmetics', 'Beauty', 'Supply', 'Shopping', 'Beauty', 'Spas']"
132,gU9EIsUkriQzDM91Sv3CtA,4.0,"['Restaurants', 'Korean']"
133,SAYeaclKsoqMavBfHpvV8Q,1.5,"['Breakfast', 'Brunch', 'Restaurants']"
134,CYwCPEq05tRkBT8trOZhKg,2.5,"['Home', 'Services', 'Couriers', 'Delivery', 'Services', 'Movers', 'Local', 'Services', 'Packing', 'Services', 'Self', 'Storage']"
135,8wpfZ3zJJ8LKO-z6C8hX-A,4.0,"['Food', 'Restaurants', 'Sandwiches', 'Coffee', 'Tea', 'Desserts']"
136,6T8YFkN7xkGlBfLMqdp28w,5.0,"['Bakeries', 'Food']"
137,Z3UBeP5EoKIXIDmEdA3JmQ,3.0,"['Poke', 'Asian', 'Fusion', 'Food', 'Restaurants', 'Hawaiian', 'Japanese']"
138,l7RCvKqA61Jzm98gaqIhvw,3.5,"['Pizza', 'Nightlife', 'Restaurants', 'Pubs', 'Bars']"
139,NJ8zL1tXR29LUng6T_CKPw,4.0,"['Shopping', 'Shopping', 'Centers']"
140,JCMnL6-pbWmG7xSVkdBuoQ,2.5,"['Restaurants', 'Pizza']"
141,ZAw8PJAopCs-Rd1X8Y4xGQ,1.5,"['Nightlife', 'Lounges', 'Bars']"
142,HHtsSEWylv5yAPhk5r1DLg,4.5,"['Health', 'Medical', 'Medical', 'Centers', 'Sports', 'Medicine', 'Podiatrists', 'Doctors']"
143,JbG4UCHDEvKTvDkFjmVfJw,2.0,"['Videos', 'Video', 'Game', 'Rental', 'Professional', 'Services', 'Local', 'Services', 'Home', 'Services', 'Television', 'Service', 'Providers', 'Books', 'Mags', 'Music', 'Video', 'Internet', 'Service', 'Providers', 'Telecommunications', 'Shopping', 'IT', 'Services', 'Computer', 'Repair']"
144,eMSFlZRDLBUWWs93_78xdw,2.0,"['Chicken', 'Wings', 'Fast', 'Food', 'Restaurants', 'Chicken', 'Shop']"
145,pDMxIQoqkZJeUe2r8XIVKQ,3.0,"['Vietnamese', 'Restaurants']"
146,xqQ0njbNhkJoSAjiQBLLyQ,5.0,"['Home', 'Services', 'Professional', 'Services', 'Real', 'Estate', 'Real', 'Estate', 'Agents', 'Real', 'Estate', 'Services']"
147,VmTFY0aszmKLe8CJ7XIu7Q,5.0,"['Home', 'Services', 'Mortgage', 'Brokers', 'Real', 'Estate']"
148,QZpNIh08ybhDrGFEshiKtA,3.0,"['Pets', 'Pet', 'Stores', 'Pet', 'Services']"
149,QPpptKYmU3fZMi_JsUf4qg,1.0,"['Pizza', 'Restaurants']"
150,oWEFIvvt_kJCuk2V268XeQ,3.0,"['Restaurants', 'Chinese', 'Dim', 'Sum']"
151,BrGJGL4Y4xilpZ3IdfZCVA,3.5,"['Physical', 'Therapy', 'Doctors', 'Chiropractors', 'Health', 'Medical', 'Naturopathic', 'Holistic', 'Acupuncture']"
152,GZr47kxnbhB2L8bp0NpaCw,1.0,"['Appliances', 'Shopping', 'Home', 'Garden']"
153,e8H_6IynA1X13PbJbQP-3A,2.0,"['Home', 'Cleaning', 'Home', 'Services']"
154,WOQNQx7SrMalJMXFENitpg,4.0,"['Sandwiches', 'Soup', 'Restaurants']"
155,mk7xgXuTVMfv4sH7GD2SoA,3.0,"['Coffee', 'Tea', 'Food', 'Tea', 'Rooms', 'Desserts']"
156,OrGGV05yjScIPekmZkEwXg,3.0,"['Pet', 'Services', 'Veterinarians', 'Pets', 'Emergency', 'Pet', 'Hospital']"
157,c_FTil8s5PS2l_YJDQAXhA,4.0,"['Restaurants', 'Bars', 'Seafood', 'Nightlife', 'Pubs']"
158,9B2kV3k4t72mr-o4Ry_soQ,3.5,"['Bakeries', 'Food', 'Coffee', 'Tea']"
159,AozgNfsjP4SizYq5Zcs_LA,2.5,"['Shopping', 'Lingerie', 'Fashion', 'Swimwear']"
160,MrqG_TzPLMRrob--EHNdOw,4.0,"['Sandwiches', 'Poutineries', 'Restaurants', 'Cafes']"
161,U8Uecw7AZPMuA4fkKbEd1A,3.5,"['Event', 'Planning', 'Services', 'Restaurants', 'Fast', 'Food', 'Sandwiches', 'Caterers']"
162,fM4bmkEW-4s3QTT1oKVlKw,4.5,"['Lounges', 'Event', 'Planning', 'Services', 'Venues', 'Event', 'Spaces', 'Bars', 'Nightlife']"
163,DJTp8_qFr1mU_HMvvhk8Bw,4.5,"['Restaurants', 'American', 'Traditional']"
164,2W3If040rgz34_ZO3c_SxA,2.0,"['Restaurants', 'Bars', 'Nightlife', 'Pizza', 'Sports', 'Bars']"
165,BWxGMT2wbAIEzrEjZNENRw,3.0,"['Veterinarians', 'Pets']"
166,COExayvsDDJOjWTOFZ7a4A,3.0,"['African', 'Bars', 'Restaurants', 'Nightlife']"
167,1miWFf_qJZpBE7DYK63iqA,2.0,"['Automotive', 'Car', 'Dealers']"
168,q-DeyxfDo3AFjmghv5Gm1g,3.5,"['Restaurants', 'Indian', 'Kosher']"
169,Ro5Kduh_Y2D4L9tmIYibfg,3.0,"['Health', 'Medical', 'Midwives']"
170,rz_MbxHYHWwZMT-F5fgfUA,2.0,"['Barbeque', 'Filipino', 'Buffets', 'Fish', 'Chips', 'Restaurants']"
171,jXzxNtgvFCd8RJPHLNBeDw,1.5,"['Veterinarians', 'Pet', 'Stores', 'Pets']"
172,Idk-QTyUZq9w0ALh5cyvrw,2.0,"['Pizza', 'Restaurants', 'Italian', 'Chicken', 'Wings']"
173,0txNpCq2YunZSL7jHIiGlA,4.0,"['Restaurants', 'French', 'Italian']"
174,qL2LoSauX4IG2KHtQevFUw,3.5,"['Thai', 'Restaurants']"
175,1KbcmHmjwUN1OKKDi7xLnQ,3.0,"['Hobby', 'Shops', 'Venues', 'Event', 'Spaces', 'Event', 'Planning', 'Services', 'Shopping']"
176,fZ5jJ_TOJHeaRi5UBdRvYw,2.0,"['Restaurants', 'American', 'Traditional']"
177,UDXof8_KofkMnZpO0Hn1ig,4.5,"['Yoga', 'Active', 'Life', 'Fitness', 'Instruction']"
178,yXgSKKxG4LDHXzpESmD-tw,2.0,"['Health', 'Medical', 'Medical', 'Centers']"
179,in8uc02eZJbPnDP2PWl8ig,1.0,"['Sewing', 'Alterations', 'Local', 'Services']"
180,Ycp3Agr7dt71TZkeKV7jng,4.0,"['Restaurants', 'Desserts', 'Sandwiches', 'Cafes', 'French', 'Coffee', 'Tea', 'Food', 'Breakfast', 'Brunch']"
181,us8NtNBTEm4k-GKrYKz4Dw,4.0,"['Beauty', 'Spas', 'Barbers', 'Hair', 'Salons']"
182,n9eudXq_35C0htRLtHZ2XQ,4.5,"['Beer', 'Wine', 'Spirits', 'Whiskey', 'Bars', 'Coffee', 'Tea', 'Beer', 'Bar', 'Breakfast', 'Brunch', 'Bars', 'Cocktail', 'Bars', 'Food', 'Cafes', 'Wine', 'Bars', 'Restaurants', 'Local', 'Flavor', 'Nightlife']"
183,5DVG0kea51olW0_kxNcD9g,2.5,"['Sports', 'Bars', 'Nightlife', 'Bars', 'Chicken', 'Wings', 'Restaurants', 'American', 'Traditional']"
184,Wc0Leurb7WMVrP3KIZYiUw,3.5,"['Dentists', 'Health', 'Medical', 'Oral', 'Surgeons']"
185,emyCP3Ry2SbpNrwRAtm9PQ,2.5,"['Restaurants', 'Hot', 'Pot', 'Korean', 'Asian', 'Fusion']"
186,YH8Bn-7pLR-SFR8MCgQj1w,3.5,"['Bakeries', 'Food', 'Mediterranean', 'French', 'Restaurants']"
187,4FE9FM8uvn9CV76Bxfxogw,4.0,"['Caribbean', 'Restaurants']"
188,JHlliXHouAUSHLtiiMyUqA,4.5,"['Vietnamese', 'Restaurants', 'Ice', 'Cream', 'Frozen', 'Yogurt', 'Food']"
189,PvzxaeJJkpe56bbZJd_8Jw,4.0,"['Pilates', 'Active', 'Life', 'Fitness', 'Instruction', 'Yoga']"
190,kKnGY0Xj7dG4ubjrbygynw,4.0,"['Hotels', 'Travel', 'Event', 'Planning', 'Services', 'Hotels']"
191,B1BDGdBTTAPknYg4oM9o3A,3.5,"['Shoe', 'Shine', 'Shoe', 'Repair', 'Local', 'Services']"
192,ZK0Q-hn46I8JrRTleg_dYQ,3.0,"['Restaurants', 'Asian', 'Fusion', 'Caterers', 'Event', 'Planning', 'Services', 'Thai', 'Desserts', 'Food']"
193,b7zt8LVQ9RfFbDL5YXYz_Q,5.0,"['Professional', 'Sports', 'Teams', 'Fitness', 'Instruction', 'Arts', 'Entertainment', 'Gyms', 'Amateur', 'Sports', 'Teams', 'Trainers', 'Active', 'Life', 'Boxing']"
194,VcZQXpk6vYAXwemOrC9PTw,3.0,"['Japanese', 'Restaurants']"
195,cmfISoayshIPAr4b7D994g,4.5,"['Waxing', 'Hair', 'Removal', 'Massage', 'Nail', 'Salons', 'Beauty', 'Spas']"
196,AqqJ3ZenY5EJ-3GEhngkqQ,2.0,"['Specialty', 'Schools', 'Driving', 'Schools', 'Education', 'Local', 'Services']"
197,u9l2rJwQIPhDy_dZMUntNA,3.0,"['Beauty', 'Spas', 'Tanning']"
198,cPpNkcanf-dqiXgjrTdM9Q,3.5,"['Food', 'Grocery']"
199,eW1EJrcMDIQMHpW4fJxg2w,3.5,"['Hair', 'Salons', 'Beauty', 'Spas']"
200,aHMAZ634rfYT7M-YjYdd3g,4.0,"['Middle', 'Eastern', 'Restaurants']"
201,VkWh7XiEWQfuwUMhLCChhg,4.5,"['Specialty', 'Schools', 'Yoga', 'Education', 'Surf', 'Schools', 'Boating', 'Beaches', 'Fitness', 'Instruction', 'Active', 'Life', 'Sports', 'Clubs']"
202,caq9CTtWB-8K0tdFUhTfAQ,3.5,"['Italian', 'Restaurants']"
